VIN,Make,Model,Vehicle_Category,Vehicle_Sub_Category,Market_Segment,Sale_Price,Sale_Price_Segment,Customer_Name,Customer_Email,Dealer_Name,Unknown_Dealer_name,Clean_Dealer_Name,Dealer_Region,Fuel_Type,Engine_Size,Unkown_Engine_Size ,Color,Unkown_Color,Mileage,Model_Year,Sales_Date_A,Sales_Date_Month,Quarter,
1HGCV1F46JA123466,Toyota,Highlander,SUV,Mid/Full-Size SUV,Luxury/Performance,"$43,000.00",$40K-$59.9K,Gregory Martin,g.martin@email.com,Metro Honda,Metro Honda,Metro Honda,Northeast,Gasoline,1.5L,1.5L,Blue,Blue,21000,2021,202409,Sep,Q3,
4T1BF1FK8EU123466,Toyota,Yaris,Sedan,Subcompact/Compact Car,Standard,"$18,500.00","Under $25,000",Christina Thompson,c.thompson@email.com,toyota center,toyota center,Toyota Center,West,Gasoline,1.5L,1.5L,Red,Red,18000,2022,202409,Sep,Q3,
4T1BF1FK9EU123467,Toyota,C-HR,SUV,Compact SUV,Standard,"$26,500.00",$25K-$39.9K,Amanda Jackson,a.jackson2@gmail.com,Toyota Center,Toyota Center,Toyota Center,West,Gasoline,2.0L,2.0L,Black,Black,18000,2022,202410,Oct,Q4,
KM8J3CA56JU123467,Toyota,Camry,Sedan,Mid/Full-Size Car,Standard,"$28,000.00",$25K-$39.9K,Brittany Harris,b.harris@email.com,Hyundai Plus,Hyundai Plus,Hyundai Plus,West,Gasoline,2.0L,2.0L,Blue,Blue,15000,2022,202410,Oct,Q4,
5YJSA1E34JF123468,Toyota,RAV4,SUV,Mid/Full-Size SUV,Standard,"$32,000.00",$25K-$39.9K,Rachel Lee,r.lee2@gmail.com,Tesla Direct,Tesla Direct,Tesla Direct,West,Electric,,Unknown,Silver,Silver,2500,2024,202410,Oct,Q4,
1HGCV1F48JA123468,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Sean Wilson,s.wilson@email.com,Metro Honda,Metro Honda,Metro Honda,Northeast,Hybrid,1.5L,1.5L,White,White,11000,2023,202410,Oct,Q4,
4T1BF1FK0EU123468,Toyota,Mirai,Sedan,Full-Size Car,Standard,"$58,500.00",$40K-$59.9K,Courtney Moore,c.moore@email.com,Toyota Center,Toyota Center,Toyota Center,West,Hydrogen,,Unknown,Blue,Blue,5000,2024,202410,Oct,Q4,
1C4RJFBG2KC123468,Toyota,RAV4,SUV,Mid/Full-Size SUV,Standard,"$32,000.00",$25K-$39.9K,Devin Thomas,d.thomas2@email.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Hybrid,2.0L,2.0L,Black,Black,6000,2024,202410,Oct,Q4,
4T1BF1FK1EU123469,Toyota,Highlander,SUV,Mid/Full-Size SUV,Luxury/Performance,"$43,000.00",$40K-$59.9K,Jenna Thompson,j.thompson3@email.com,Toyota Center,Toyota Center,Toyota Center,West,Electric,,Unknown,Blue,Blue,4500,2024,202411,Nov,Q4,
1N4AL3AP1JC123469,Toyota,Camry,Sedan,Mid/Full-Size Car,Standard,"$28,000.00",$25K-$39.9K,Cameron Garcia,c.garcia2@email.com,Nissan Direct,Nissan Direct,Nissan Direct,South,Electric,,Unknown,Black,Black,3500,2024,202411,Nov,Q4,
4T1BF1FK2EU123470,Toyota,Mirai,Sedan,Full-Size Car,Standard,"$58,500.00",$40K-$59.9K,Sierra Jackson,s.jackson2@gmail.com,toyota center,toyota center,Toyota Center,West,Hydrogen,,Unknown,Yellow,Yellow,6000,2023,202411,Nov,Q4,
1N4AL3AP2JC123470,Toyota,Camry,Sedan,Mid/Full-Size Car,Standard,"$28,000.00",$25K-$39.9K,Parker White,p.white@email.com,Nissan Direct,Nissan Direct,Nissan Direct,South,Gasoline,3.0L,3.0L,Silver,Silver,4000,2024,202411,Nov,Q4,
1C4RJFBG4KC123470,Toyota,Highlander,SUV,Mid/Full-Size SUV,Luxury/Performance,"$43,000.00",$40K-$59.9K,Hunter Martin,h.martin@gmail.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,5.7L,5.7L,Black,Black,8000,2023,202411,Nov,Q4,
4T1BF1FK3EU123471,Toyota,Mirai,Sedan,Full-Size Car,Standard,"$58,500.00",$40K-$59.9K,Brooke Moore,b.moore@email.com,Toyota Center,Toyota Center,Toyota Center,West,Hydrogen,,Unknown,Blue,Blue,3000,2024,202412,Dec,Q4,
KM8J3CA60JU123471,Toyota,RAV4,SUV,Mid/Full-Size SUV,Standard,"$32,000.00",$25K-$39.9K,Peyton Anderson,p.anderson2@email.com,Hyundai Plus,Hyundai Plus,Hyundai Plus,West,Gasoline,3.3L,3.3L,Silver,Silver,3500,2024,202412,Dec,Q4,
1C4RJFBG5KC123471,Toyota,Camry,Sedan,Mid/Full-Size Car,Standard,"$28,000.00",$25K-$39.9K,Bryce Thomas,b.thomas2@email.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,6.4L,6.4L,Gray,Gray,5000,2024,202412,Dec,Q4,
1HGBH41JXMN109186,Honda,Civic,Sedan,Subcompact/Compact Car,Standard,"$24,500.00","Under $25,000",John Smith,john.smith@email.com,Metro Honda,Metro Honda,Metro Honda,Northeast,Gasoline,1.5L,1.5L,Blue,Blue,15000,2021,202401,Jan,Q1,
3N1AB7AP9HY123456,Nissan,Altima,Sedan,Full-Size Car,Standard,"$26,800.00",$25K-$39.9K,Mike Davis,m.davis@yahoo.com,,Unknown,Unknown,Northeast,Gasoline,2.5L,2.5L,Silver,Silver,22000,2020,202402,Feb,Q1,
5NPE34AF5KH654329,Hyundai,Elantra,Sedan,Subcompact/Compact Car,Standard,"$22,900.00","Under $25,000",Lisa Chen,lisa.chen@outlook.com,Hyundai Plus,Hyundai Plus,Hyundai Plus,West,Gasoline,2.0L,2.0L,Red,Red,12000,2022,202402,Feb,Q1,
1C4RJFAG8KC321654,Jeep,Grand Cherokee,SUV,Compact SUV,Standard,"$38,900.00",$25K-$39.9K,Amanda Taylor,a.taylor@gmail.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,3.6L,3.6L,Gray,Gray,35000,2020,202402,Feb,Q1,
5YJSA1E26JF123456,Tesla,Model S,Sedan,Full-Size Car,Luxury/Performance,"$89,500.00",$60K-$89.9K,Michael Rodriguez,mrodriguez@email.com,Tesla Direct,Tesla Direct,Tesla Direct,West,Electric,,Unknown,Red,Red,8000,2023,202403,Mar,Q1,
1N4AL3AP8JC123456,Nissan,Altima,Sedan,Full-Size Car,Standard,"$27,500.00",$25K-$39.9K,Mary Thomas,mthomas@email.com,Nissan Direct,Nissan Direct,Nissan Direct,South,Gasoline,2.5L,2.5L,,Unknown,26000,2020,202403,Mar,Q1,
1C4RJFBG3KC123456,Jeep,Grand Cherokee,SUV,Compact SUV,Standard,"$41,200.00",$40K-$59.9K,Elizabeth White,e.white@email.com,jeep nation,jeep nation,Jeep Nation,South,Gasoline,3.6L,3.6L,Black,Black,29000,2020,202403,Mar,Q1,
KM8J3CA50JU123461,Hyundai,Accent,Sedan,Subcompact/Compact Car,Standard,"$18,900.00","Under $25,000",Bobby Garcia,b.garcia@email.com,Hyundai Plus,Hyundai Plus,Hyundai Plus,West,Gasoline,1.6L,1.6L,Red,Red,14000,2022,202407,Jul,Q3,
WBA8E9G63HNU12350,BMW,7 Series,Sedan,Full-Size Car,Luxury/Performance,"$89,900.00",$60K-$89.9K,Keith Wilson,k.wilson@email.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,3.0L,3.0L,Gray,Gray,26000,2020,202407,Jul,Q3,
1N4AL3AP4JC123465,Nissan,Armada,SUV,Compact SUV,Standard,"$51,200.00",$40K-$59.9K,Terry Thomas,t.thomas@email.com,Nissan Direct,Nissan Direct,Nissan Direct,South,Gasoline,5.6L,5.6L,Blue,Blue,30000,2020,202407,Jul,Q3,
1FTEW1E55JKF12350,Ford,Bronco,SUV,Compact SUV,Standard,"$38,900.00",$25K-$39.9K,Gerald White,g.white@email.com,Ford Country,Ford Country,Ford Country,Midwest,Gasoline,2.3L,2.3L,Green,Green,9000,2023,202407,Jul,Q3,
WBA8E9G64HNU12359,BMW,8 Series,Coupe,Luxury Coupe,Luxury/Performance,"$99,900.00",$90K-$129.9K,Paul Martin,p.martin2@email.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,3.0L,3.0L,Blue,Blue,18000,2022,202407,Jul,Q3,
1C4RJFBG8KC123464,Jeep,Commander,SUV,Compact SUV,Standard,"$22,900.00","Under $25,000",Matthew Martin,m.martin@gmail.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,3.7L,3.7L,Silver,Silver,45000,2016,202408,Aug,Q3,
1G1ZB5ST6JF123465,Chevrolet,Blazer,SUV,Compact SUV,Standard,"$35,200.00",$25K-$39.9K,Zachary White,z.white@email.com,Chevy World,Chevy World,Chevy World,Midwest,Gasoline,2.5L,2.5L,Black,Black,25000,2020,202409,Sep,Q3,
1FTEW1E59JKF12354,Ford,EcoSport,SUV,Compact SUV,Standard,"$22,900.00","Under $25,000",Megan Moore,m.moore2@email.com,Ford Country,Ford Country,Ford Country,Midwest,Gasoline,1.0L,1.0L,White,White,19000,2021,202409,Sep,Q3,
1C4RJFBG1KC123467,Jeep,Avenger,SUV,Compact SUV,Standard,"$27,900.00",$25K-$39.9K,Tyler Martin,t.martin@gmail.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,1.3L,1.3L,Silver,Silver,13000,2023,202410,Oct,Q4,
1G1ZB5ST9JF123468,Chevrolet,Bolt,Sedan,Full-Size Car,Standard,"$26,900.00",$25K-$39.9K,Marcus White,m.white@email.com,Chevy World,Chevy World,Chevy World,Midwest,Electric,,Unknown,Red,Red,8000,2023,202410,Oct,Q4,
KM8J3CA59JU123470,Hyundai,Elantra N,Sedan,Full-Size Car,Standard,"$34,500.00",$25K-$39.9K,Savannah Harris,s.harris3@email.com,hyundai plus,hyundai plus,Hyundai Plus,West,Gasoline,2.0L,2.0L,Red,Red,5000,2024,202411,Nov,Q4,
1FTEW1E63JKF12358,Ford,Bronco Sport,SUV,Compact SUV,Standard,"$29,800.00",$25K-$39.9K,Destiny Thompson,d.thompson2@email.com,Ford Country,Ford Country,Ford Country,Midwest,Gasoline,1.5L,1.5L,Green,Green,9000,2023,202411,Nov,Q4,
WBA8E9G68HNU12355,BMW,M3,Sedan,Full-Size Car,Luxury/Performance,"$69,900.00",$60K-$89.9K,Autumn Lee,a.lee@gmail.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,3.0L,3.0L,White,White,6000,2023,202412,Dec,Q4,
1N4AL3AP3JC123479,Nissan,GT-R,Coupe,Other,Standard,"$115,900.00",$90K-$129.9K,Easton Taylor,e.taylor@gmail.com,Nissan Direct,Nissan Direct,Nissan Direct,South,Gasoline,3.8L,3.8L,Black,Black,2500,2024,202412,Dec,Q4,
1C4RJFBG3KC123451,Jeep,Grand Cherokee,SUV,Compact SUV,Standard,"$41,200.00",$40K-$59.9K,Elizabeth White,e.white@email.com,jeep nation,jeep nation,Jeep Nation,South,Gasoline,3.6L,3.6L,Black,Black,29000,2020,202403,Mar,Q1,
1FTEW1E59JKF12351,Ford,EcoSport,SUV,Compact SUV,Standard,"$22,900.00","Under $25,000",Megan Moore,m.moore2@email.com,Ford Country,Ford Country,Ford Country,Midwest,Gasoline,1.0L,1.0L,White,White,19000,2021,202409,Sep,Q3,
1N4AL3AP4JC123461,Nissan,Armada,SUV,Compact SUV,Standard,"$51,200.00",$40K-$59.9K,Terry Thomas,t.thomas@email.com,Nissan Direct,Nissan Direct,Nissan Direct,South,Gasoline,5.6L,5.6L,Blue,Blue,30000,2020,202407,Jul,Q3,
1C4RJFBG1KC123461,Jeep,Avenger,SUV,Compact SUV,Standard,"$27,900.00",$25K-$39.9K,Tyler Martin,t.martin@gmail.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,1.3L,1.3L,Silver,Silver,13000,2023,202410,Oct,Q4,
1C4RJFBG3KC123452,Jeep,Grand Cherokee,SUV,Compact SUV,Standard,"$41,200.00",$40K-$59.9K,Elizabeth White,e.white@email.com,jeep nation,jeep nation,Jeep Nation,South,Gasoline,3.6L,3.6L,Black,Black,29000,2020,202403,Mar,Q1,
1N4AL3AP3JC123471,Nissan,GT-R,Coupe,Other,Standard,"$115,900.00",$90K-$129.9K,Easton Taylor,e.taylor@gmail.com,Nissan Direct,Nissan Direct,Nissan Direct,South,Gasoline,3.8L,3.8L,Black,Black,2500,2024,202412,Dec,Q4,
1G1ZB5ST6JF123461,Chevrolet,Blazer,SUV,Compact SUV,Standard,"$35,200.00",$25K-$39.9K,Zachary White,z.white@email.com,Chevy World,Chevy World,Chevy World,Midwest,Gasoline,2.5L,2.5L,Black,Black,25000,2020,202409,Sep,Q3,
KM8J3CA59JU123471,Hyundai,Elantra N,Sedan,Full-Size Car,Standard,"$34,500.00",$25K-$39.9K,Savannah Harris,s.harris3@email.com,hyundai plus,hyundai plus,Hyundai Plus,West,Gasoline,2.0L,2.0L,Red,Red,5000,2024,202411,Nov,Q4,
1FTEW1E63JKF12351,Ford,Bronco Sport,SUV,Compact SUV,Standard,"$29,800.00",$25K-$39.9K,Destiny Thompson,d.thompson2@email.com,Ford Country,Ford Country,Ford Country,Midwest,Gasoline,1.5L,1.5L,Green,Green,9000,2023,202411,Nov,Q4,
1C4RJFBG1KC123462,Jeep,Avenger,SUV,Compact SUV,Standard,"$27,900.00",$25K-$39.9K,Tyler Martin,t.martin@gmail.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,1.3L,1.3L,Silver,Silver,13000,2023,202410,Oct,Q4,
1C4RJFAG8KC321651,Jeep,Grand Cherokee,SUV,Compact SUV,Standard,"$38,900.00",$25K-$39.9K,Amanda Taylor,a.taylor@gmail.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,3.6L,3.6L,Gray,Gray,35000,2020,202402,Feb,Q1,
1FTEW1E63JKF12352,Ford,Bronco Sport,SUV,Compact SUV,Standard,"$29,800.00",$25K-$39.9K,Destiny Thompson,d.thompson2@email.com,Ford Country,Ford Country,Ford Country,Midwest,Gasoline,1.5L,1.5L,Green,Green,9000,2023,202411,Nov,Q4,
5NPE34AF5KH654321,Hyundai,Elantra,Sedan,Subcompact/Compact Car,Standard,"$22,900.00","Under $25,000",Lisa Chen,lisa.chen@outlook.com,Hyundai Plus,Hyundai Plus,Hyundai Plus,West,Gasoline,2.0L,2.0L,Red,Red,12000,2022,202402,Feb,Q1,
1G1ZB5ST9JF123461,Chevrolet,Bolt,Sedan,Full-Size Car,Standard,"$26,900.00",$25K-$39.9K,Marcus White,m.white@email.com,Chevy World,Chevy World,Chevy World,Midwest,Electric,,Unknown,Red,Red,8000,2023,202410,Oct,Q4,
1C4RJFBG1KC123463,Jeep,Avenger,SUV,Compact SUV,Standard,"$27,900.00",$25K-$39.9K,Tyler Martin,t.martin@gmail.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,1.3L,1.3L,Silver,Silver,13000,2023,202410,Oct,Q4,
3N1AB7AP9HY123451,Nissan,Altima,Sedan,Full-Size Car,Standard,"$26,800.00",$25K-$39.9K,Mike Davis,m.davis@yahoo.com,,Unknown,Unknown,Northeast,Gasoline,2.5L,2.5L,Silver,Silver,22000,2020,202402,Feb,Q1,
1FTEW1E63JKF12353,Ford,Bronco Sport,SUV,Compact SUV,Standard,"$29,800.00",$25K-$39.9K,Destiny Thompson,d.thompson2@email.com,Ford Country,Ford Country,Ford Country,Midwest,Gasoline,1.5L,1.5L,Green,Green,9000,2023,202411,Nov,Q4,
1N4AL3AP8JC123451,Nissan,Altima,Sedan,Full-Size Car,Standard,"$27,500.00",$25K-$39.9K,Mary Thomas,mthomas@email.com,Nissan Direct,Nissan Direct,Nissan Direct,South,Gasoline,2.5L,2.5L,,Unknown,26000,2020,202403,Mar,Q1,
3N1AB7AP9HY123452,Nissan,Altima,Sedan,Full-Size Car,Standard,"$26,800.00",$25K-$39.9K,Mike Davis,m.davis@yahoo.com,,Unknown,Unknown,Northeast,Gasoline,2.5L,2.5L,Silver,Silver,22000,2020,202402,Feb,Q1,
1C4RJFBG1KC123464,Jeep,Avenger,SUV,Compact SUV,Standard,"$27,900.00",$25K-$39.9K,Tyler Martin,t.martin@gmail.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,1.3L,1.3L,Silver,Silver,13000,2023,202410,Oct,Q4,
1HGBH41JXMN109181,Honda,Civic,Sedan,Subcompact/Compact Car,Standard,"$24,500.00","Under $25,000",John Smith,john.smith@email.com,Metro Honda,Metro Honda,Metro Honda,Northeast,Gasoline,1.5L,1.5L,Blue,Blue,15000,2021,202401,Jan,Q1,
1N4AL3AP3JC123472,Nissan,GT-R,Coupe,Other,Standard,"$115,900.00",$90K-$129.9K,Easton Taylor,e.taylor@gmail.com,Nissan Direct,Nissan Direct,Nissan Direct,South,Gasoline,3.8L,3.8L,Black,Black,2500,2024,202412,Dec,Q4,
1G1ZB5ST9JF123462,Chevrolet,Bolt,Sedan,Full-Size Car,Standard,"$26,900.00",$25K-$39.9K,Marcus White,m.white@email.com,Chevy World,Chevy World,Chevy World,Midwest,Electric,,Unknown,Red,Red,8000,2023,202410,Oct,Q4,
WBA8E9G68HNU12351,BMW,M3,Sedan,Full-Size Car,Luxury/Performance,"$69,900.00",$60K-$89.9K,Autumn Lee,a.lee@gmail.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,3.0L,3.0L,White,White,6000,2023,202412,Dec,Q4,
WBA8E9G64HNU12351,BMW,8 Series,Coupe,Luxury Coupe,Luxury/Performance,"$99,900.00",$90K-$129.9K,Paul Martin,p.martin2@email.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,3.0L,3.0L,Blue,Blue,18000,2022,202407,Jul,Q3,
1FTEW1E55JKF12351,Ford,Bronco,SUV,Compact SUV,Standard,"$38,900.00",$25K-$39.9K,Gerald White,g.white@email.com,Ford Country,Ford Country,Ford Country,Midwest,Gasoline,2.3L,2.3L,Green,Green,9000,2023,202407,Jul,Q3,
1N4AL3AP4JC123462,Nissan,Armada,SUV,Compact SUV,Standard,"$51,200.00",$40K-$59.9K,Terry Thomas,t.thomas@email.com,Nissan Direct,Nissan Direct,Nissan Direct,South,Gasoline,5.6L,5.6L,Blue,Blue,30000,2020,202407,Jul,Q3,
1N4AL3AP4JC123463,Nissan,Armada,SUV,Compact SUV,Standard,"$51,200.00",$40K-$59.9K,Terry Thomas,t.thomas@email.com,Nissan Direct,Nissan Direct,Nissan Direct,South,Gasoline,5.6L,5.6L,Blue,Blue,30000,2020,202407,Jul,Q3,
1G1ZB5ST6JF123462,Chevrolet,Blazer,SUV,Compact SUV,Standard,"$35,200.00",$25K-$39.9K,Zachary White,z.white@email.com,Chevy World,Chevy World,Chevy World,Midwest,Gasoline,2.5L,2.5L,Black,Black,25000,2020,202409,Sep,Q3,
KM8J3CA59JU123472,Hyundai,Elantra N,Sedan,Full-Size Car,Standard,"$34,500.00",$25K-$39.9K,Savannah Harris,s.harris3@email.com,hyundai plus,hyundai plus,Hyundai Plus,West,Gasoline,2.0L,2.0L,Red,Red,5000,2024,202411,Nov,Q4,
1FTEW1E59JKF12352,Ford,EcoSport,SUV,Compact SUV,Standard,"$22,900.00","Under $25,000",Megan Moore,m.moore2@email.com,Ford Country,Ford Country,Ford Country,Midwest,Gasoline,1.0L,1.0L,White,White,19000,2021,202409,Sep,Q3,
WBA8E9G68HNU12352,BMW,M3,Sedan,Full-Size Car,Luxury/Performance,"$69,900.00",$60K-$89.9K,Autumn Lee,a.lee@gmail.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,3.0L,3.0L,White,White,6000,2023,202412,Dec,Q4,
5NPE34AF5KH654322,Hyundai,Elantra,Sedan,Subcompact/Compact Car,Standard,"$22,900.00","Under $25,000",Lisa Chen,lisa.chen@outlook.com,Hyundai Plus,Hyundai Plus,Hyundai Plus,West,Gasoline,2.0L,2.0L,Red,Red,12000,2022,202402,Feb,Q1,
5YJSA1E26JF123451,Tesla,Model S,Sedan,Full-Size Car,Luxury/Performance,"$89,500.00",$60K-$89.9K,Michael Rodriguez,mrodriguez@email.com,Tesla Direct,Tesla Direct,Tesla Direct,West,Electric,,Unknown,Red,Red,8000,2023,202403,Mar,Q1,
1G1ZB5ST6JF123463,Chevrolet,Blazer,SUV,Compact SUV,Standard,"$35,200.00",$25K-$39.9K,Zachary White,z.white@email.com,Chevy World,Chevy World,Chevy World,Midwest,Gasoline,2.5L,2.5L,Black,Black,25000,2020,202409,Sep,Q3,
1C4RJFBG3KC123453,Jeep,Grand Cherokee,SUV,Compact SUV,Standard,"$41,200.00",$40K-$59.9K,Elizabeth White,e.white@email.com,jeep nation,jeep nation,Jeep Nation,South,Gasoline,3.6L,3.6L,Black,Black,29000,2020,202403,Mar,Q1,
1C4RJFBG1KC123465,Jeep,Avenger,SUV,Compact SUV,Standard,"$27,900.00",$25K-$39.9K,Tyler Martin,t.martin@gmail.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,1.3L,1.3L,Silver,Silver,13000,2023,202410,Oct,Q4,
1C4RJFBG3KC123454,Jeep,Grand Cherokee,SUV,Compact SUV,Standard,"$41,200.00",$40K-$59.9K,Elizabeth White,e.white@email.com,jeep nation,jeep nation,Jeep Nation,South,Gasoline,3.6L,3.6L,Black,Black,29000,2020,202403,Mar,Q1,
1C4RJFBG8KC123461,Jeep,Commander,SUV,Compact SUV,Standard,"$22,900.00","Under $25,000",Matthew Martin,m.martin@gmail.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,3.7L,3.7L,Silver,Silver,45000,2016,202408,Aug,Q3,
1C4RJFAG8KC321652,Jeep,Grand Cherokee,SUV,Compact SUV,Standard,"$38,900.00",$25K-$39.9K,Amanda Taylor,a.taylor@gmail.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,3.6L,3.6L,Gray,Gray,35000,2020,202402,Feb,Q1,
